                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.3284,                 2.0872,                 1.1384,                0.55665,                 0.1894,                0.20695,                0.10192,                  2.052,                 3.1069,                  1.607,             0.00010262,             0.00010262,             0.00010262
                     48,                 1.2703,                 1.9516,                 1.1416,                0.39916,                0.22495,                0.20496,                0.10408,                 2.0671,                 3.1139,                 1.6176,             0.00010444,             0.00010444,             0.00010444
                     49,                 1.2389,                 1.9641,                 1.0913,                0.30437,                0.25654,                0.20622,                 0.1107,                 2.0587,                 3.1014,                 1.5997,             0.00010624,             0.00010624,             0.00010624
                     50,                 1.3247,                 1.9664,                 1.1526,                0.26905,                 0.2565,                0.20141,                0.12019,                 2.0377,                 3.0644,                 1.5872,             0.00010803,             0.00010803,             0.00010803
                     51,                 1.2323,                 1.8648,                 1.1091,                0.32836,                0.24666,                0.20226,                0.12091,                  2.019,                 2.9847,                 1.5686,              0.0001098,              0.0001098,              0.0001098
                     52,                 1.2985,                 1.9391,                 1.1159,                 0.3354,                0.26534,                0.22216,                0.13282,                 1.9727,                 2.8753,                 1.5427,             0.00011156,             0.00011156,             0.00011156
                     53,                 1.2035,                 1.7915,                 1.0821,                0.27577,                0.29761,                 0.2418,                0.14847,                 1.9259,                 2.7679,                 1.5039,             0.00011329,             0.00011329,             0.00011329
                     54,                 1.1764,                 1.7437,                 1.0749,                0.32325,                0.32114,                0.26541,                0.16105,                  1.929,                 2.6782,                 1.4997,             0.00011501,             0.00011501,             0.00011501
                     55,                 1.2529,                 1.7715,                 1.0954,                 0.2749,                0.34473,                0.27208,                0.15844,                  1.941,                 2.5654,                 1.4999,             0.00011671,             0.00011671,             0.00011671
                     56,                 1.2163,                 1.7401,                  1.076,                0.31055,                0.32273,                0.29274,                  0.169,                 1.9613,                 2.5065,                 1.5153,              0.0001184,              0.0001184,              0.0001184
                     57,                  1.236,                 1.7147,                 1.0961,                0.31087,                0.30352,                0.29756,                0.17236,                 1.9655,                 2.5111,                 1.5309,             0.00012006,             0.00012006,             0.00012006
                     58,                 1.2688,                 1.6803,                 1.1437,                0.28106,                0.30994,                0.27367,                0.15637,                 1.9919,                 2.5496,                 1.5595,             0.00012171,             0.00012171,             0.00012171
                     59,                 1.2951,                 1.7923,                 1.0489,                0.26587,                0.31916,                0.26768,                 0.1477,                 2.0046,                 2.5727,                 1.5781,             0.00012334,             0.00012334,             0.00012334
                     60,                 1.1838,                 1.6271,                 1.0592,                0.27376,                0.30214,                0.27904,                0.16009,                 1.9934,                 2.5345,                 1.5666,             0.00012496,             0.00012496,             0.00012496
                     61,                 1.1631,                 1.6125,                 1.0814,                0.40679,                 0.2725,                 0.3158,                  0.176,                 1.9913,                 2.4504,                 1.5695,             0.00012656,             0.00012656,             0.00012656
                     62,                 1.2315,                 1.5967,                 1.1055,                0.41262,                0.27911,                0.32063,                0.17364,                 1.9925,                 2.3969,                 1.5679,             0.00012814,             0.00012814,             0.00012814
                     63,                 1.2086,                  1.517,                  1.069,                0.38613,                0.32256,                0.32107,                0.17067,                 1.9943,                 2.3732,                 1.5763,              0.0001297,              0.0001297,              0.0001297
                     64,                 1.1644,                 1.5126,                 1.0579,                0.39025,                0.31837,                0.30145,                0.16401,                 2.0013,                 2.3627,                 1.5997,             0.00013124,             0.00013124,             0.00013124
                     65,                 1.1682,                 1.5438,                 1.0603,                0.41329,                0.28768,                0.30505,                0.16586,                 2.0122,                   2.34,                 1.6143,             0.00013277,             0.00013277,             0.00013277
                     66,                 1.1256,                 1.4467,                 1.0743,                 0.5437,                0.24606,                0.30766,                0.17485,                 2.0244,                 2.2939,                 1.6285,             0.00013428,             0.00013428,             0.00013428
                     67,                 1.1266,                  1.433,                 1.0508,                0.47754,                0.30636,                0.33811,                0.18217,                 2.0072,                 2.1987,                  1.598,             0.00013577,             0.00013577,             0.00013577
                     68,                  1.187,                 1.4306,                  1.057,                0.49517,                0.31183,                0.35504,                0.19748,                 2.0034,                 2.1298,                  1.586,             0.00013725,             0.00013725,             0.00013725
                     69,                 1.1797,                 1.3821,                 1.0731,                0.42316,                0.32477,                0.35552,                0.19363,                 1.9934,                 2.1023,                 1.5789,             0.00013871,             0.00013871,             0.00013871
                     70,                 1.1612,                  1.377,                 1.0704,                0.44822,                0.32203,                0.35511,                0.19342,                  1.992,                  2.065,                 1.5926,             0.00014015,             0.00014015,             0.00014015
                     71,                 1.1114,                 1.4279,                 1.0563,                0.63319,                0.28467,                0.34325,                0.18852,                 2.0411,                 2.0424,                 1.6439,             0.00014157,             0.00014157,             0.00014157
                     72,                 1.0718,                 1.3712,                 1.0563,                0.40462,                0.32492,                0.32735,                0.18267,                 2.0706,                  2.057,                 1.6802,             0.00014298,             0.00014298,             0.00014298
                     73,                 1.1207,                 1.3023,                 1.0352,                0.42948,                 0.3307,                0.33541,                0.18619,                 2.0601,                 2.0845,                 1.6644,             0.00014437,             0.00014437,             0.00014437
                     74,                 1.1049,                 1.3275,                  1.033,                0.42059,                0.32225,                0.34256,                0.18643,                 2.0253,                  2.085,                 1.6086,             0.00014574,             0.00014574,             0.00014574
                     75,                 1.0832,                 1.2437,                 1.0347,                0.40393,                0.33205,                0.34074,                0.18816,                 1.9969,                 2.0667,                 1.5828,             0.00014709,             0.00014709,             0.00014709
                     76,                 1.0981,                 1.2472,                 1.0465,                 0.4102,                0.33151,                0.33431,                0.18185,                 2.0042,                  2.104,                 1.6014,             0.00014843,             0.00014843,             0.00014843
                     77,                 1.1143,                 1.2475,                  1.045,                0.43327,                0.32336,                0.31269,                0.17491,                 2.0521,                 2.1452,                 1.6566,             0.00014975,             0.00014975,             0.00014975
                     78,                 1.1157,                 1.1946,                 1.0691,                0.42374,                0.30211,                0.30246,                0.16608,                 2.1023,                 2.1661,                 1.7111,             0.00015105,             0.00015105,             0.00015105
                     79,                 1.1025,                 1.2089,                 1.0076,                0.50131,                0.27717,                0.32293,                0.17378,                 2.1212,                 2.1673,                 1.7335,             0.00015234,             0.00015234,             0.00015234
                     80,                  1.132,                 1.2437,                   1.07,                0.49758,                0.29982,                 0.3319,                0.18025,                 2.1178,                 2.1534,                 1.7294,              0.0001536,              0.0001536,              0.0001536
                     81,                 1.1321,                  1.271,                 1.0337,                0.50416,                0.31373,                0.34148,                0.18664,                 2.0767,                 2.0676,                  1.689,             0.00015485,             0.00015485,             0.00015485
                     82,                 1.0989,                 1.1841,                 1.0421,                0.45098,                0.35838,                0.38318,                0.20282,                  2.031,                  1.954,                 1.6438,             0.00015609,             0.00015609,             0.00015609
                     83,                 1.0546,                 1.1571,                 1.0273,                0.47747,                0.38356,                 0.3956,                0.21625,                 2.0343,                 1.8622,                 1.6495,              0.0001573,              0.0001573,              0.0001573
                     84,                 1.0843,                 1.1658,                  1.047,                0.47619,                0.36909,                0.38163,                0.21405,                 2.0931,                 1.8345,                 1.7075,              0.0001585,              0.0001585,              0.0001585
                     85,                 1.0837,                 1.1742,                  1.059,                0.53778,                0.34069,                0.37403,                0.20577,                 2.1402,                 1.8844,                 1.7581,             0.00015968,             0.00015968,             0.00015968
                     86,                 1.1184,                 1.1599,                 1.0504,                0.54089,                0.31851,                0.36159,                0.19878,                 2.1108,                 1.9439,                 1.7357,             0.00016084,             0.00016084,             0.00016084
                     87,                 1.0732,                 1.1084,                 1.0195,                0.57839,                0.33217,                0.38516,                0.20111,                 2.0649,                 1.9534,                 1.7054,             0.00016199,             0.00016199,             0.00016199
                     88,                 1.0133,                 1.0826,                 1.0297,                0.55786,                0.37726,                0.40582,                0.20337,                 2.0572,                 1.9614,                 1.6822,             0.00016312,             0.00016312,             0.00016312
                     89,                 1.0985,                 1.0957,                 1.0269,                0.48392,                0.39347,                0.40884,                0.21378,                 2.0504,                 1.9326,                 1.6755,             0.00016423,             0.00016423,             0.00016423
                     90,                 1.0378,                 1.0911,                 1.0126,                0.46946,                0.36687,                0.37785,                0.20613,                 2.0502,                 1.8943,                 1.6923,             0.00016532,             0.00016532,             0.00016532
                     91,                 1.0506,                 1.0944,                 1.0189,                0.55569,                0.35072,                0.36647,                0.20148,                 2.0655,                 1.8496,                 1.7167,              0.0001664,              0.0001664,              0.0001664
                     92,                 1.0432,                 1.0732,                 1.0023,                0.59903,                0.36182,                0.36976,                0.20536,                 2.0935,                  1.802,                 1.7515,             0.00016746,             0.00016746,             0.00016746
                     93,                  1.037,                 1.0582,                 1.0449,                0.59914,                0.35108,                 0.3635,                0.19978,                 2.1528,                 1.8426,                 1.8109,              0.0001685,              0.0001685,              0.0001685
                     94,                0.98503,                 1.0069,                0.98727,                0.55323,                0.37178,                0.36422,                0.19776,                 2.1844,                  1.865,                 1.8366,             0.00016953,             0.00016953,             0.00016953
                     95,                 1.0743,                 1.0952,                0.98867,                0.55823,                0.37805,                0.37874,                0.20589,                 2.1873,                 1.8743,                 1.8414,             0.00017053,             0.00017053,             0.00017053
                     96,                 1.0727,                 1.1101,                0.99394,                0.55197,                0.38687,                0.40958,                0.21236,                 2.1469,                 1.8618,                  1.819,             0.00017152,             0.00017152,             0.00017152
                     97,                0.97927,                 1.0258,                0.98443,                0.53109,                0.41042,                 0.4176,                 0.2192,                 2.1425,                 1.8561,                 1.8144,             0.00017249,             0.00017249,             0.00017249
                     98,                 1.0664,                 1.0713,                 1.0169,                0.57201,                0.37517,                0.39248,                0.21307,                 2.1598,                 1.8724,                 1.8585,             0.00017345,             0.00017345,             0.00017345
                     99,                0.99756,                  1.007,                0.98655,                0.60718,                0.36522,                0.38463,                0.20149,                 2.1913,                 1.8965,                 1.9105,             0.00017439,             0.00017439,             0.00017439
                    100,                  1.039,                 1.0037,                 1.0198,                 0.5428,                0.30662,                0.32815,                0.19172,                  2.259,                 1.9291,                 1.9845,             0.00017531,             0.00017531,             0.00017531
                    101,                0.99256,                0.97708,                 1.0226,                0.54065,                0.31146,                0.32756,                0.18404,                 2.3328,                 1.9663,                 2.0448,             0.00017621,             0.00017621,             0.00017621
                    102,                 1.0418,                  1.029,                 1.0452,                0.55972,                0.30467,                0.34259,                0.18851,                 2.3246,                 1.9342,                 2.0178,             0.00017621,             0.00017621,             0.00017621
                    103,                 1.0145,                0.95562,                0.99481,                0.61633,                  0.333,                 0.3821,                0.20423,                   2.26,                 1.8437,                 1.9267,             0.00017534,             0.00017534,             0.00017534
                    104,                 1.0077,                0.94759,                 1.0143,                0.63866,                0.37617,                0.42545,                0.22089,                 2.1579,                 1.7545,                 1.8161,             0.00017447,             0.00017447,             0.00017447
                    105,                0.98237,                0.95412,                 1.0023,                0.68363,                0.38542,                0.44135,                0.22918,                 2.1227,                 1.7359,                 1.7644,             0.00017361,             0.00017361,             0.00017361
                    106,                 1.0082,                0.90198,                 1.0183,                0.58373,                0.38109,                0.42324,                0.22386,                 2.1297,                 1.7599,                 1.7926,             0.00017274,             0.00017274,             0.00017274
                    107,                 0.9855,                0.93826,                 0.9876,                0.59089,                0.37866,                0.42369,                0.21978,                 2.1324,                 1.7632,                 1.8029,             0.00017187,             0.00017187,             0.00017187
                    108,                0.97099,                0.94878,                 1.0008,                0.57938,                0.37908,                 0.4124,                0.21515,                 2.1532,                  1.778,                 1.8267,               0.000171,               0.000171,               0.000171
                    109,                0.94663,                0.91619,                0.99274,                0.54672,                0.38133,                0.42998,                0.22098,                 2.1731,                 1.8151,                  1.836,             0.00017013,             0.00017013,             0.00017013
                    110,                0.95502,                0.90701,                 1.0046,                0.54249,                 0.3872,                0.43192,                0.22148,                 2.1898,                 1.8285,                 1.8319,             0.00016927,             0.00016927,             0.00016927
                    111,                0.97072,                0.91098,                 1.0009,                0.60412,                  0.396,                0.45695,                0.22985,                 2.1637,                 1.8137,                 1.7991,              0.0001684,              0.0001684,              0.0001684
                    112,                 1.0069,                0.94522,                0.97947,                0.65095,                0.39228,                0.47384,                0.24135,                 2.0981,                 1.7242,                 1.7392,             0.00016753,             0.00016753,             0.00016753
                    113,                0.99268,                0.91802,                 0.9909,                0.63264,                0.44958,                 0.4967,                0.24924,                 2.0136,                 1.6449,                 1.6806,             0.00016666,             0.00016666,             0.00016666
                    114,                 1.0015,                0.93027,                0.98712,                0.68468,                0.44977,                0.51421,                0.25907,                 1.9875,                 1.6122,                 1.6678,              0.0001658,              0.0001658,              0.0001658
                    115,                 0.9645,                 0.8801,                0.98064,                0.73513,                0.41029,                 0.4849,                0.25148,                  1.998,                 1.6138,                 1.6925,             0.00016493,             0.00016493,             0.00016493
                    116,                 0.9792,                0.90973,                0.97822,                0.70108,                0.38707,                0.46097,                0.24555,                  2.057,                 1.6227,                 1.7522,             0.00016406,             0.00016406,             0.00016406
                    117,                0.96241,                0.92723,                0.99576,                0.71422,                0.37305,                0.45641,                0.23767,                 2.0918,                 1.6471,                 1.7893,             0.00016319,             0.00016319,             0.00016319
                    118,                0.92499,                0.87219,                0.97096,                0.66789,                0.40071,                0.46032,                0.24269,                 2.1011,                 1.6658,                 1.7935,             0.00016232,             0.00016232,             0.00016232
                    119,                0.93809,                0.89026,                0.99955,                0.65816,                0.40023,                0.46436,                0.24926,                 2.0789,                 1.6698,                 1.7653,             0.00016146,             0.00016146,             0.00016146
                    120,                0.90642,                0.87265,                0.97562,                0.67603,                0.40533,                0.47216,                0.25467,                 2.0469,                 1.6704,                 1.7226,             0.00016059,             0.00016059,             0.00016059
                    121,                 0.9617,                0.92212,                0.97857,                0.67146,                0.42153,                0.48213,                0.25449,                 2.0312,                 1.6631,                 1.6916,             0.00015972,             0.00015972,             0.00015972
                    122,                0.91726,                0.85159,                0.95955,                0.67438,                0.40653,                0.48168,                0.25661,                 2.0273,                 1.6532,                 1.6922,             0.00015885,             0.00015885,             0.00015885
                    123,                0.98046,                0.86624,                 1.0086,                0.67312,                0.40314,                0.46807,                 0.2455,                 2.0554,                 1.6446,                 1.7334,             0.00015798,             0.00015798,             0.00015798
                    124,                0.96465,                0.86261,                0.98163,                  0.666,                0.40969,                0.45605,                0.23864,                 2.0758,                 1.6453,                 1.7525,             0.00015712,             0.00015712,             0.00015712
                    125,                0.94311,                0.88026,                 0.9643,                0.64707,                0.40341,                0.45498,                0.23919,                 2.0762,                 1.6483,                 1.7416,             0.00015625,             0.00015625,             0.00015625
                    126,                0.93282,                0.84602,                0.96178,                0.66172,                0.40246,                0.46973,                 0.2493,                 2.0694,                 1.6482,                 1.7256,             0.00015538,             0.00015538,             0.00015538
                    127,                0.86572,                0.78453,                0.96106,                0.66483,                 0.4047,                 0.4698,                 0.2516,                 2.0616,                 1.6267,                 1.7356,             0.00015451,             0.00015451,             0.00015451
                    128,                0.92277,                0.80736,                0.99165,                 0.7004,                0.37951,                0.43624,                 0.2389,                 2.0576,                 1.6138,                 1.7703,             0.00015364,             0.00015364,             0.00015364
                    129,                0.90235,                0.82462,                0.96826,                 0.7319,                0.36524,                 0.4219,                 0.2451,                 2.0722,                 1.5899,                 1.8247,             0.00015278,             0.00015278,             0.00015278
                    130,                0.95217,                0.85313,                0.97674,                0.77706,                0.35053,                0.41827,                0.24438,                 2.0872,                 1.5874,                 1.8545,             0.00015191,             0.00015191,             0.00015191
                    131,                0.96955,                0.86227,                0.98126,                0.80264,                0.36725,                0.44313,                0.24841,                 2.0821,                 1.5774,                 1.8279,             0.00015104,             0.00015104,             0.00015104
                    132,                0.94753,                0.85844,                0.99156,                0.77121,                 0.3713,                0.44959,                0.25034,                 2.0484,                 1.5721,                 1.7784,             0.00015017,             0.00015017,             0.00015017
                    133,                 0.9112,                0.81117,                0.95748,                0.71718,                0.37583,                0.45249,                0.25403,                 2.0415,                   1.57,                 1.7662,             0.00014931,             0.00014931,             0.00014931
                    134,                 0.8717,                0.78467,                 0.9529,                 0.7233,                0.37464,                0.46034,                0.25503,                  2.043,                 1.5578,                 1.7761,             0.00014844,             0.00014844,             0.00014844
                    135,                0.89311,                0.80364,                0.99125,                0.76385,                0.35711,                0.44611,                0.24782,                 2.0608,                 1.5603,                 1.8202,             0.00014757,             0.00014757,             0.00014757
