                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                 1.2646,                 1.6207,                 1.0903,                0.64997,                0.28364,                0.37899,                0.20052,                 1.8994,                 2.4197,                 1.4789,              9.515e-05,              9.515e-05,              9.515e-05
                     44,                 1.2168,                 1.5612,                 1.1039,                0.72107,                0.29073,                0.40356,                0.21219,                   1.93,                 2.2421,                 1.5063,             9.7043e-05,             9.7043e-05,             9.7043e-05
                     45,                 1.2031,                 1.5209,                 1.0968,                0.39296,                0.36848,                0.37179,                0.20672,                 1.9815,                    2.1,                 1.5494,             9.8917e-05,             9.8917e-05,             9.8917e-05
                     46,                 1.1723,                 1.4261,                 1.0783,                0.56581,                0.32183,                0.37227,                0.20646,                 2.0087,                 2.0627,                  1.575,             0.00010078,             0.00010078,             0.00010078
                     47,                 1.2652,                 1.5107,                 1.1152,                0.46565,                0.34853,                0.37684,                0.20981,                 2.0033,                 2.0524,                 1.5826,             0.00010262,             0.00010262,             0.00010262
                     48,                 1.1841,                 1.3657,                 1.0904,                0.43044,                0.39516,                0.40051,                0.22638,                 1.9478,                 1.9883,                 1.5518,             0.00010444,             0.00010444,             0.00010444
                     49,                 1.1646,                 1.3445,                 1.0543,                0.56411,                0.37828,                0.43025,                0.24443,                 1.8878,                  1.958,                 1.5053,             0.00010624,             0.00010624,             0.00010624
                     50,                 1.2006,                 1.3519,                 1.1161,                0.47505,                0.44782,                0.47099,                0.25706,                 1.8558,                 1.8679,                  1.466,             0.00010803,             0.00010803,             0.00010803
                     51,                 1.1591,                  1.266,                  1.067,                0.53256,                0.45907,                0.50041,                0.26811,                 1.8222,                 1.7926,                 1.4609,              0.0001098,              0.0001098,              0.0001098
                     52,                 1.1868,                 1.2968,                 1.0726,                0.55772,                0.44346,                0.48951,                0.27115,                  1.869,                  1.744,                 1.4973,             0.00011156,             0.00011156,             0.00011156
                     53,                 1.0745,                 1.2103,                 1.0294,                0.56162,                 0.4209,                0.47304,                0.26384,                 1.9283,                 1.7969,                 1.5475,             0.00011329,             0.00011329,             0.00011329
                     54,                 1.1372,                 1.2401,                 1.0679,                0.59589,                0.39097,                0.44188,                0.26507,                 1.9378,                 1.7746,                 1.5876,             0.00011501,             0.00011501,             0.00011501
                     55,                 1.1186,                 1.1671,                 1.0407,                 0.5592,                0.42195,                0.46027,                0.27396,                 1.9294,                 1.7616,                 1.5681,             0.00011671,             0.00011671,             0.00011671
